,Aves,Carneadobada,Carnedecaza,Cerdo,Champiñones,Comidapicante,Cordero,Desconocido,Lacomidabasuravale,Maridajes,Nodisponible,Pasta,Pescadoazul,Pescadoblanco,Quesoazul,Quesocurado,Quesodelechedecabra,Quesotiernoycremoso,Ternera,Terneralechal,Vegetariana,ID
0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3105259
1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1280319
2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,6365197
3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2573275
4,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1133110
5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,5985946
6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,6343332
7,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1302561
8,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2735037
9,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3985319
10,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1283561
11,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1360802
12,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,7706895
13,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,7118207
14,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,3869502
15,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,6377476
16,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1148198
17,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1135638
18,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1373117
19,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1583754
20,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1278868
21,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,23370
22,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2290754
23,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,5171873
24,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,4904442
25,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1291873
26,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2610358
27,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1134068
28,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6677896
29,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,7182821
