0,1,2,3,4,5,6,7,8,ID
terroso,cuero,virutas,fresa,cereza,arándano,frutos del bosque,mermelada,,3105259
cereza,frutos rojos,,terroso,piedra,,chocolate,tabaco,vainilla,1280319
fresa,frambuesa,cereza,casis,mora,fruta negra,terroso,minerales,cuero,6365197
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,2573275
ciruela,fruta negra,rosa seca,roble,vainilla,tabaco,cuero,terroso,ceniza,1133110
ceniza,terroso,minerales,arándano rojo,fresa salvaje,,roble,bebida cola,canela,5985946
aceite balsámico,suelo del bosque,,fresa madura,,,naranja,,,6343332
roble,tabaco,vainilla,cuero,terroso,humo,cereza,frambuesa,fruta seca,1302561
roble,vainilla,chocolate,mora,casis,cereza negra,cereza,frambuesa,fresa,2735037
arándano,ciruela,mora,roble,vainilla,clavo de olor,regaliz,pimienta blanca,,3985319
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,1283561
cereza,,,mermelada,,,ajedrea,,,1360802
humo,minerales,terroso,cereza,cereza roja,fresa,roble,,,7706895
arándano,,,frambuesa,,,naranja,,,7118207
fresa,frutos rojos,cuero,minerales,terroso,humo,pimienta,salvia,hierbas,3869502
granada,frambuesa,frambuesa,cereza negra,,,hierbas,,,6377476
cereza,frutos rojos,tofi,vainilla,chocolate amargo,,cacao,terroso,humo,1148198
roble,chocolate,café,frutos del bosque,ciruela,,cereza,fresa,frambuesa,1135638
cacao,carne de caza,cereza roja,clavo de olor,café,roble,cereza,cereza roja,,1373117
mora,arándano,frutos rojos,pimienta,regaliz,menta,chocolate,roble,chocolate,1583754
roble,cedro,chocolate,cereza negra,mermelada,,frutos rojos,,,1278868
cereza,frutos rojos,tofi,clavo de olor,roble,rosa seca,cuero,terroso,cacao,23370
frambuesa,fresa,cereza,roble,clavo de olor,uva pasa,eucalipto,menta,pimiento,2290754
fresa,arándano rojo,rosa seca,cuero,terroso,minerales,regaliz,orégano,pimiento,5171873
pimiento,,,drupa,,,piedra,,,4904442
roble,vainilla,chocolate,mora,ciruela,fruta negra,cuero,terroso,humo,1291873
cereza negra,mora,,regaliz,,,chocolate amargo,tabaco,,2610358
roble,vainilla,tabaco,ciruela,mora,fruta negra,cuero,terroso,humo,1134068
cuero,humo,terroso,tabaco,,,frutos rojos,,,6677896
terroso,,,polvo de vainilla,,,polvo de vainilla,,,7182821
pizarra,terroso,piedra,cereza negra,fruta negra,,ciruela roja,fresa salvaje,,7179664
mermelada,,,vainilla,,,polvo de vainilla,,,11412217
frambuesa,fresa,cereza,minerales,terroso,humo,pimienta,regaliz,tomillo,2266397
cereza,frutos rojos,tofi,pimienta,anís,,cuero,minerales,carne,7314009
mora,ciruela,cereza Bing,roble,vainilla,chocolate,cuero,aceite balsámico,,1290219
mora,,,cuero,,,polvo de vainilla,,,8128046
