,Valoración
17865,4.3
6718,3.9
2394,3.5
459,4.0
14616,4.2
7362,3.6
14404,3.9
8281,3.8
15604,4.0
18873,4.1
16684,4.2
13072,4.3
5999,4.1
19566,3.3
7173,4.1
19112,3.8
7307,4.1
2157,3.7
18583,3.8
7673,3.8
15403,3.9
5504,4.0
3537,4.1
5380,3.8
16825,3.7
4741,3.9
5215,3.4
13645,4.2
13536,4.2
2746,3.8
6347,4.0
14178,4.1
102,4.1
4770,4.0
19502,3.7
1661,3.5
15320,3.7
2684,3.4
17874,4.3
19835,4.2
7917,3.7
18791,4.0
18628,3.7
12574,4.1
17981,4.3
6849,4.1
1694,3.6
4877,3.9
1065,3.7
17150,4.3
9299,3.9
8879,4.2
5514,4.1
2522,3.4
8255,4.4
15584,4.2
518,3.8
3479,4.3
18014,4.2
7725,3.6
720,3.8
4168,3.8
34,4.2
17428,4.3
13377,3.7
2358,3.5
11943,3.8
937,4.1
19161,4.3
11717,4.2
12972,3.8
2134,3.4
15915,3.6
18232,3.7
16218,4.2
12546,3.8
3119,4.2
20023,4.0
7925,4.0
1210,4.1
18609,4.5
1085,3.9
7376,3.8
9093,4.4
14735,3.6
9327,3.6
13116,4.0
19667,3.6
6934,4.0
10480,4.4
11270,4.1
3379,4.3
1318,3.6
1769,4.1
19261,4.4
13759,4.0
6194,3.8
9287,3.6
3562,4.1
130,3.9
17213,4.2
5938,4.0
12295,3.9
14754,3.8
6984,3.6
18755,4.4
1825,3.9
15127,4.3
9459,4.4
16574,3.9
4548,3.6
19890,3.9
7614,3.9
8669,3.6
6127,4.0
2216,3.7
2995,4.6
17831,4.1
19295,4.2
6628,3.4
14760,3.4
17198,4.2
14003,3.8
10005,4.2
10808,4.4
3940,3.5
9993,4.3
15487,3.8
13135,4.4
10203,4.2
10171,4.1
3223,4.2
4401,3.8
17581,3.9
14184,4.2
449,3.9
8029,4.2
16186,3.5
11593,4.1
12823,4.2
14728,3.9
10706,3.3
12793,4.1
535,3.8
13596,4.5
15118,4.5
1836,4.1
19505,4.1
7842,4.2
18747,4.3
17412,4.3
4265,4.0
1890,4.0
5922,4.1
6076,3.6
1688,3.9
12335,4.1
10962,4.2
10959,4.0
10092,3.9
7828,4.3
12924,3.4
4371,3.9
454,4.0
17967,3.9
18363,3.8
15332,3.9
3852,3.5
182,4.1
7761,3.6
16783,4.2
17988,4.3
12990,3.9
19598,3.9
99,3.9
4510,3.6
18312,3.9
6316,4.1
5194,3.7
7900,4.0
11913,4.1
1707,3.8
254,4.0
13099,4.7
14451,3.8
1302,3.8
19784,4.3
7829,4.3
11252,3.7
15657,3.7
3930,3.8
12027,3.7
933,3.9
14668,4.0
8087,4.3
18084,3.9
2009,4.5
8046,4.1
7776,4.2
2874,3.7
7591,4.2
1037,3.6
2704,3.7
17858,4.1
7879,4.3
14206,4.4
16988,4.2
18062,3.8
12026,4.0
12139,3.9
10734,3.7
11583,4.1
7717,3.6
10778,4.2
14314,3.6
16249,4.4
8697,4.1
6713,3.6
1540,3.9
17579,3.5
2697,3.4
2286,3.5
12304,4.1
15847,3.9
8440,4.2
13904,3.9
15274,4.0
6075,3.7
19856,4.0
8846,4.0
13767,4.3
4307,3.5
18608,4.0
15701,3.7
12291,3.8
6956,3.7
1333,3.8
16054,3.8
13823,4.2
14905,4.0
8109,4.2
1984,4.0
11829,4.0
2435,3.4
9699,3.5
4816,4.1
15488,4.4
7507,3.8
8370,3.9
3920,3.5
14274,3.5
10353,4.3
17794,4.3
4706,3.4
12055,4.0
17706,4.3
2813,3.6
10125,4.1
536,3.8
5437,4.4
1139,3.7
4116,3.7
6287,3.9
11346,4.3
5577,4.2
4518,3.5
617,3.9
1310,3.8
15336,3.6
13619,4.5
3251,4.3
3547,4.0
16599,4.0
16973,4.3
17842,3.9
15700,3.8
8930,4.5
8285,3.9
11880,4.1
15808,4.0
10262,4.5
6492,3.9
1121,3.7
2656,3.6
3478,4.4
11007,4.1
18295,3.9
15231,3.8
19393,3.6
10785,4.4
20145,3.4
3526,4.2
17292,3.6
1835,4.1
5269,4.2
14678,3.8
7998,4.2
1042,3.8
15581,3.7
5486,4.3
