Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes,Ligero/Poderoso,Débil/Ácido,Amable/Con Burbujas,Taste_Notes_1_1,Taste_Notes_1_2,Taste_Notes_1_3,Taste_Notes_2_1,Taste_Notes_2_2,Taste_Notes_2_3,Taste_Notes_3_1,Taste_Notes_3_2,Taste_Notes_3_3
https://www.vivino.com/ES/es/fr-simonnet-febvre-cremant-de-bourgogne-cuvee-s-brut/w/3967508,3967508,Crémant de Bourgogne Cuvée S Brut,2018,Francia,Crémant de Bourgogne,Simonnet-Febvre,Vino espumoso,"Chardonnay, Pinot Noir",20,3.7,12,"Marisco, Aves, Aperitivos y tentempiés, Pescado blanco, Aperitivo",4.6,5.6,6.0,menta,pomelo,mora,cítrico,limón,pomelo,fresa madura,crema,queso
https://www.vivino.com/ES/es/louis-loron-cremant-de-bourgogne-blanc-tradition/w/4919479,4919479,Crémant de Bourgogne Blanc TraditionN.V.,No disponible,Francia,Crémant de Bourgogne,Louis Loron,Vino espumoso,"Chardonnay, Pinot Noir",20,4.0,No disponible,"Marisco, Aves, Aperitivos y tentempiés, Pescado blanco, Aperitivo",5.4,5.2,6.5,crema,polvo de vainilla,polvo de vainilla,tabaco dulce,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/marcio-lopes-pequenos-rebentos-ancestral-loureiro-pet-nat/w/6700139,6700139,Pequenos Rebentos Ancestral Loureiro Pet Nat,2022,Portugal,Douro,Márcio Lopes,Vino espumoso,Loureiro,20,4.1,No disponible,"Marisco, Aperitivos y tentempiés, Aperitivo",4.0,7.3,5.9,piedra,menta,menta,cítrico,pomelo,limón,piedra,tomillo,polvo de vainilla
https://www.vivino.com/ES/es/mestres-coquet-gran-reserva-brut-nature/w/4311421,4311421,Coquet Gran Reserva Brut Nature,2019,España,Cava,Mestres,Vino espumoso,"Macabeo, Xarel-lo, Parellada",15.87,3.9,2,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",4.2,5.5,6.0,pimienta verde,menta,No disponible,fresa madura,crema,uva pasa,roble,tostada,almizcle
https://www.vivino.com/ES/es/cipriani-bellini-cipriani/w/5794981,5794981,Bellini N.V.,No disponible,Italia,Vino d'Italia,Cipriani,Vino espumoso,No disponible,20,4.2,5,"Aperitivos y tentempiés, Aperitivo",2.9,4.0,5.4,pomelo,solución salina,polvo de vainilla,hongo,granada,uva pasa,naranja,cítrico,pomelo
https://www.vivino.com/ES/es/soligo-solicum-rive-di-soligo-millesimato-valdobbiadene-prosecco-superiore-dry-conegliano-valdobbiadene-prosecco-superiore-sparkling/w/11816760,11816760,Solicum Rive di  Millesimato Valdobbiadene Prosecco Superiore Dry,2023,Italia,Conegliano-Valdobbiadene Prosecco Superiore,Soligo,Vino espumoso,Glera,20,4.1,11,"Marisco, Vegetariana, Aperitivos y tentempiés, Aperitivo, Carne adobada",3.5,4.3,4.7,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/maeli-dili-moscato-giallo-frizzante/w/6364694,6364694,Dilì Moscato Giallo Frizzante,2020,Italia,Véneto,Maeli,Vino espumoso,Moscato Giallo,19.96,3.6,No disponible,"Aperitivos y tentempiés, Aperitivo",4.1,4.6,6.0,pomelo,cítrico,limón,menta,pimienta verde,No disponible,minerales,minerales,jengibre
https://www.vivino.com/ES/es/naveran-cava-perles-roses-pinot-noir-millesime/w/1178951,1178951,Cava Perles Rosés Pinot Noir Millesime,2022,España,Cava,Naveran,Vino espumoso,Pinot Noir,19.96,4.2,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.7,5.5,6.2,arándano rojo,cereza roja,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/codorniu-ars-collecta-gran-reserva-blanc-de-noirs/w/7254661,7254661,Ars Collecta Gran Reserva Blanc de Noirs,2019,España,Cava,Codorníu,Vino espumoso,"Xarel-lo, Trepat, Pinot Noir",19.95,3.9,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.9,5.9,5.2,cítrico,limón,pomelo,minerales,minerales,solución salina,menta,pimienta verde,No disponible
https://www.vivino.com/ES/es/nuria-renom-la-maca-beu/w/6074141,6074141,La Maca Beu,2023,España,Cataluña,Nuria Renom,Vino espumoso,"Moscatel, Macabeo",19.95,4.1,10,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo",4.4,4.5,5.4,cítrico,pomelo,limón,menta,piedra,piedra,piedra,hibisco,polvo de vainilla
https://www.vivino.com/ES/es/dominio-de-la-vega-cava-reserva-especial-brut/w/1454604,1454604,Cava Reserva Especial Brut,2019,España,Cava,Dominio de la Vega,Vino espumoso,"Chardonnay, Macabeo",19.95,4.0,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",4.3,5.2,6.0,menta,piedra,pomelo,roble,almendra,tostada,cítrico,limón,limón
https://www.vivino.com/ES/es/codorniu-ars-collecta-reserva-grand-rose-cava-sparkling/w/11103035,11103035,Ars Collecta Reserva Grand Rosé,2020,España,Cava,Codorníu,Vino espumoso,"Pinot Noir, Xarel-lo, Trepat",19.95,3.8,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.7,5.0,5.7,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
